symbol,name,fyers_symbol
CAPLIPOINT,Caplin Point Laboratories Limited,NSE:CAPLIPOINT-EQ
CARBORUNIV,Carborundum Universal Limited,NSE:CARBORUNIV-EQ
CARERATING,CARE Ratings Limited,NSE:CARERATING-EQ
CARRARO,Carraro India Limited,NSE:CARRARO-EQ
CARTRADE,Cartrade Tech Limited,NSE:CARTRADE-EQ
CARYSIL,CARYSIL LIMITED,NSE:CARYSIL-EQ
CASTROLIND,Castrol India Limited,NSE:CASTROLIND-EQ
CCAVENUE,AvenuesAI Limited,NSE:CCAVENUE-EQ
CCCL,Consolidated Construction Consortium Limited,NSE:CCCL-EQ
CCHHL,Country Club Hospitality & Holidays Limited,NSE:CCHHL-EQ
CCL,CCL Products (India) Limited,NSE:CCL-EQ
