symbol,name,fyers_symbol
BIRLAMONEY,Aditya Birla Money Limited,BSE:BIRLAMONEY-EQ
BIRLANU,BirlaNu Limited,BSE:BIRLANU-EQ
BIRLAPREC,Birla Precision Technologies Limited,BSE:BIRLAPREC-EQ
BLACKBUCK,BLACKBUCK LIMITED,BSE:BLACKBUCK-EQ
BLAL,BEML Land Assets Limited,BSE:BLAL-EQ
BLBLIMITED,BLB Limited,BSE:BLBLIMITED-EQ
BLEL,Behari Lal Engineering Limited,BSE:BLEL-EQ
BLIL,Balmer Lawrie Investments Limited,BSE:BLIL-EQ
BLKASHYAP,B. L. Kashyap and Sons Limited,BSE:BLKASHYAP-EQ
BLS,BLS International Services Limited,BSE:BLS-EQ
BLSE,BLS E-Services Limited,BSE:BLSE-EQ
BLUECLOUDS,Blue Cloud Softech Solutions Limited,BSE:BLUECLOUDS-EQ
BLUECOAST,Blue Coast Hotels Limited,BSE:BLUECOAST-EQ
BLUEDART,Blue Dart Express Limited,BSE:BLUEDART-EQ
BLUEJET,Blue Jet Healthcare Limited,BSE:BLUEJET-EQ
BLUESTARCO,Blue Star Limited,BSE:BLUESTARCO-EQ
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,BSE:BLUESTONE-EQ
BLUSPRING,Bluspring Enterprises Limited,BSE:BLUSPRING-EQ
BMWVENTLTD,BMW Ventures Limited,BSE:BMWVENTLTD-EQ
BNAGROCHEM,BN Agrochem Limited,BSE:BNAGROCHEM-EQ
BODALCHEM,Bodal Chemicals Limited,BSE:BODALCHEM-EQ
BOHRAIND,Bohra Industries Limited,BSE:BOHRAIND-EQ
BOMDYEING,Bombay Dyeing & Mfg Company Limited,BSE:BOMDYEING-EQ
BONLON,Bonlon Industries Limited,BSE:BONLON-EQ
BORANA,Borana Weaves Limited,BSE:BORANA-EQ
BOROLTD,Borosil Limited,BSE:BOROLTD-EQ
BORORENEW,BOROSIL RENEWABLES LIMITED,BSE:BORORENEW-EQ
BOROSCI,Borosil Scientific Limited,BSE:BOROSCI-EQ
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,BSE:BOSCH-HCIL-EQ
BOSCHLTD,Bosch Limited,BSE:BOSCHLTD-EQ
BPCL,Bharat Petroleum Corporation Limited,BSE:BPCL-EQ
BPL,BPL Limited,BSE:BPL-EQ
BPLPHARMA,Bharat Parenterals Limited,BSE:BPLPHARMA-EQ
BRAHMINFRA,Brahmaputra Infrastructure Limited,BSE:BRAHMINFRA-EQ
BRIGADE,Brigade Enterprises Limited,BSE:BRIGADE-EQ
BRIGHOTEL,Brigade Hotel Ventures Limited,BSE:BRIGHOTEL-EQ
BRIGHTBR,Bright Brothers Limited,BSE:BRIGHTBR-EQ
BRITANNIA,Britannia Industries Limited,BSE:BRITANNIA-EQ
BRNL,Bharat Road Network Limited,BSE:BRNL-EQ
BROOKS,Brooks Laboratories Limited,BSE:BROOKS-EQ
BSE,BSE Limited,BSE:BSE-EQ
BSHSL,Bombay Super Hybrid Seeds Limited,BSE:BSHSL-EQ
BSL,BSL Limited,BSE:BSL-EQ
BSOFT,BIRLASOFT LIMITED,BSE:BSOFT-EQ
BTML,Bodhi Tree Multimedia Limited,BSE:BTML-EQ
BUILDPRO,Shankara Buildpro Limited,BSE:BUILDPRO-EQ
BURNPUR,Burnpur Cement Limited,BSE:BURNPUR-EQ
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BSE:BUTTERFLY-EQ
BVCL,Barak Valley Cements Limited,BSE:BVCL-EQ
CAMLINFINE,Camlin Fine Sciences Limited,BSE:CAMLINFINE-EQ
CAMPUS,Campus Activewear Limited,BSE:CAMPUS-EQ
CAMS,Computer Age Management Services Limited,BSE:CAMS-EQ
CANBK,Canara Bank,BSE:CANBK-EQ
CANFINHOME,Can Fin Homes Limited,BSE:CANFINHOME-EQ
CANHLIFE,Canara HSBC Life Insurance Company Limited,BSE:CANHLIFE-EQ
CANTABIL,Cantabil Retail India Limited,BSE:CANTABIL-EQ
CAPACITE,Capacit'e Infraprojects Limited,BSE:CAPACITE-EQ
CAPILLARY,Capillary Technologies India Limited,BSE:CAPILLARY-EQ
CAPITALSFB,Capital Small Finance Bank Limited,BSE:CAPITALSFB-EQ
CAPLIPOINT,Caplin Point Laboratories Limited,BSE:CAPLIPOINT-EQ
CARBORUNIV,Carborundum Universal Limited,BSE:CARBORUNIV-EQ
CARERATING,CARE Ratings Limited,BSE:CARERATING-EQ
CARRARO,Carraro India Limited,BSE:CARRARO-EQ
CARTRADE,Cartrade Tech Limited,BSE:CARTRADE-EQ
CARYSIL,CARYSIL LIMITED,BSE:CARYSIL-EQ
CASTROLIND,Castrol India Limited,BSE:CASTROLIND-EQ
CCAVENUE,AvenuesAI Limited,BSE:CCAVENUE-EQ
CCCL,Consolidated Construction Consortium Limited,BSE:CCCL-EQ
CCHHL,Country Club Hospitality & Holidays Limited,BSE:CCHHL-EQ
CCL,CCL Products (India) Limited,BSE:CCL-EQ
